Year,AT,BE,BG,CY,CZ,DE,DK,ES,EE,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SK,SI,SE
2010,46903.76159,44184.94635,6863.667068,31023.26758,19960.06849,41572.45595,58041.39844,30532.48051,14663.04461,46505.30318,40676.06479,26716.64883,13693.50003,13217.5046,48663.60044,36035.645,11987.50841,110885.9914,11420.994,21798.91429,50999.74512,12504.25019,22520.64231,8397.809173,16908.84796,23532.48085,52869.04429
2011,51442.27625,47410.56693,7857.16707,32395.75391,21871.26608,46705.8958,61753.64713,31677.90031,17487.80478,51148.93164,43846.46608,25483.88256,14655.87439,14234.47158,52219.70573,38649.63948,14376.94786,119025.0572,13338.96224,23155.10353,54230.3129,13776.38836,23217.2955,9560.159425,18509.74022,25128.01504,60755.75955
2012,48564.91734,44670.56068,7430.73738,28910.74609,19870.80121,43855.85447,58507.50805,28322.94659,17403.20533,47708.06128,40870.85236,21912.99829,13439.66456,12984.83657,48943.82065,35051.52127,14367.70942,112584.6763,13847.33794,22526.53702,50070.1416,13010.75559,20563.7136,8930.729912,17498.3539,22641.80512,58037.82132
2013,50731.12725,46757.95186,7687.713682,27727.53516,20133.16914,46298.92292,61191.1937,29077.18206,19056.00192,49892.22336,42602.71797,21787.78776,13979.18556,13715.07036,51496.96169,35560.08141,15729.65247,120000.1407,15007.49186,24769.59623,52198.89756,13558.34113,21653.19598,9497.206476,18276.00955,23503.28249,61126.9432
2014,51786.37717,47764.07151,7912.274844,27162.32227,19890.91991,48023.86998,62548.98473,29513.65118,20261.06673,50327.24029,43068.54872,21616.71001,14001.16034,14294.25842,55752.76498,35565.72138,16551.0182,123678.7021,15742.39134,26753.27338,52900.53742,14181.94868,22103.70097,10031.34215,18719.98814,24247.17332,60020.36046
2015,44195.81759,41008.29672,7078.860323,23408.44141,17829.69832,41103.25644,53254.85637,25754.36103,17402.03761,42801.90812,36652.92231,18083.87791,12098.51203,12717.0386,62179.26427,30242.38614,14263.96458,105462.0126,13786.4568,24921.71418,45193.40322,12560.05142,19250.10654,8976.954489,16390.88217,20890.16643,51545.48361
2016,45307.58786,42012.62272,7570.931655,24605.34961,18575.23203,42136.12079,54663.99837,26537.15949,18295.34293,43814.02651,37062.53357,17923.96681,12579.9227,13104.69955,62784.06569,30960.73151,15008.31324,106899.2935,14331.75159,25623.94163,46039.10593,12378.81176,19991.97249,9404.381259,16563.4405,21678.35947,51965.15715
2017,47429.15846,44198.48239,8381.881346,26608.69531,20636.19995,44652.58917,57610.09818,28185.32137,20437.76538,46412.13648,38781.04949,18582.08934,13592.25452,14621.2396,70150.73702,32406.72032,16885.40739,110193.2138,15695.11515,28813.18534,48675.22234,13815.49995,21490.42986,10727.97086,17585.197,23514.02546,53791.50873
2018,51466.55656,47544.98115,9447.655897,29335.04688,23424.48046,47939.27829,61591.92887,30379.72111,23165.84948,49987.62616,41557.85486,19756.99046,15040.03692,16425.20503,79446.93911,34622.16967,19186.35959,116786.5117,17865.03109,31785.88483,53044.53244,15504.50894,23562.55452,12494.42358,19486.39368,26123.74713,54589.06039
2019,50067.58573,46641.7214,9874.336326,29420,23664.84786,46805.13843,59592.98069,29581.51855,23424.48471,48629.85823,40494.89829,19143.88762,15120.9029,16786.21364,80848.3019,33673.75096,19615.54915,112726.4397,17883.34941,31727.00707,52476.27325,15700.01358,23330.81729,12957.99911,19381.89055,26042.44635,51939.42974
2020,48789.49785,45609.00349,10148.3424,28281.42578,22992.87938,46749.47623,60836.59241,26984.29628,23595.24368,49169.71934,39179.74426,17617.29151,14269.90885,16125.60941,85973.08849,31922.91916,20381.85578,116905.3704,18096.20271,29597.63616,52162.57012,15816.8204,22242.40642,13047.45666,19552.09111,25558.42905,52837.90398
2021,53517.89045,51850.39718,12219.34187,32745.84375,26822.51419,51426.75037,69268.6518,30488.82095,27943.70122,53504.69365,43671.30841,20310.68248,17809.03239,18753.04695,102001.7982,36449.25834,23849.6157,133711.7944,20930.39824,34881.29127,58727.87055,18050.27944,24661.16649,14946.62497,21768.14867,29331.0647,61417.68088
2022,52084.6812,49926.82543,13974.44925,32048.24023,27226.61564,48717.99114,67790.05399,29674.54429,28247.09599,50871.93045,40886.25327,20867.26909,18570.404,18390.185,103983.2913,34776.42323,25064.80891,125006.0218,21779.50426,34127.51056,57025.01246,18688.00449,24515.26585,15786.80174,21256.80843,28439.3341,56424.2847
