AR,BD,BR,CHN,CO,CR,EG,IN,ID,JO,KE,MY,MX,MR,NE,PK,PE,PH,RU,ZA,LK,TH,TR,VE,VN,ZW
,171.5262053,,160.1476879,540.2261889,809.6960522,243.3132672,163.2316156,201.6676706,655.2278575,224.9295883,837.763356,1264.35837,452.0603333,406.2701421,134.5321801,,377.1083496,,1650.4829,266.3968505,343.4252752,911.2498518,2039.737534,,674.53903
,260.3515161,,178.3396141,559.6814415,928.5050859,299.9871999,157.929385,232.1706348,722.4888626,238.7464875,800.3824427,1499.355567,516.6027222,441.9785958,164.8480958,,398.0532228,,1664.480006,277.4890863,363.8065718,1160.541739,2084.38407,,716.949515
,132.4574854,,165.4042624,641.5507204,1113.036426,335.8463339,161.1372361,277.0507928,878.3534044,246.3818154,927.8051592,1470.176759,537.8085938,561.5500999,187.4969066,,445.8041646,,1554.002798,258.1794369,405.5478902,1270.339098,2316.030922,,686.7217301
,123.5144934,,185.4205374,796.5561923,1380.475197,354.8976152,186.4190895,332.2820539,1045.556887,308.3125532,1075.339255,1315.591443,604.3435059,541.156246,208.7761202,,499.1007317,,1666.495636,289.8859036,461.660995,1417.963106,2592.914389,,676.3292022
,166.0064224,,228.5193132,930.4062021,1541.069635,356.2506611,206.0737493,364.2857905,1257.649973,351.533533,1304.067339,1600.78247,705.1932373,532.2174337,238.1558325,,561.381776,,1846.852201,189.6093475,548.0111128,1558.502292,2735.433885,,664.432526
,190.0357917,,272.1469227,1092.304564,1717.784647,422.696046,224.5754377,355.2359509,1530.051186,399.1130894,1647.630822,2039.199072,825.6427612,667.9817219,254.3477606,,662.0465432,,2196.697471,229.190922,611.5191058,2075.049003,3266.785346,,777.8830088
,216.109852,,312.0203772,1275.996593,2001.176738,495.3285356,267.3905787,489.1601965,1763.741794,448.8330243,1852.96365,3036.356114,1097.664795,880.0619837,293.3918898,,761.0166543,,3034.660366,269.3199617,707.3700142,1561.014686,3886.573956,,947.3671355
,235.0383907,,291.3582375,1358.485452,1057.416332,493.0131759,271.4261492,563.7833645,1900.563675,408.3466712,1843.349369,3810.247971,874.7869263,2187.886436,333.4583921,,815.2160842,,3080.833019,290.5367445,745.7320487,1582.419075,4241.311872,,1067.25452
,209.1957418,,281.4993337,1421.921688,1021.892737,600.0430521,275.2660859,580.8105955,1945.370764,369.3870535,1925.46784,2612.666524,847.3258667,1844.849844,349.8417623,827.410231,828.5676462,,2769.096212,308.8827846,767.0757148,1400.856099,4214.671632,,1094.29259
3727.04801,193.4093731,,297.8070225,1381.120048,1199.898659,653.9354412,292.6446472,510.4349865,1956.704923,330.9007565,2123.258597,2166.569489,758.4675903,1223.603921,315.0172659,750.2317158,723.0832567,,3019.098684,330.0400705,822.7313241,1314.230362,4091.94017,,957.7752322
3787.470679,202.2878488,,302.5858247,1333.370911,1357.643297,697.8979337,278.0954152,522.7171469,1888.69862,330.1540534,2311.170377,2506.893747,675.0164795,903.4493516,331.3887658,1054.636203,667.6672523,,2590.01548,380.7494424,842.0710395,1245.928788,3531.346495,,756.3344913
2919.283511,232.1658218,,294.7897349,1189.869402,1414.128192,780.5105282,297.9992487,514.4376435,1814.870449,315.390882,2065.088335,2607.664465,666.7158203,882.2827027,320.67981,761.8719465,637.8359734,,1909.739722,371.5097814,768.8656481,1367.195496,3560.762222,235.6525399,648.6680364
3454.296334,221.5696191,,281.6994952,1166.300797,1551.691775,802.2179694,312.0598439,472.7226387,2223.089349,359.0680033,1782.54225,1765.262783,846.9058838,638.7316957,317.0297983,1077.642752,605.7263486,,2103.191712,392.5243612,836.1471302,1506.714127,3388.195364,430.188501,692.1399583
